,x
435,天士力 600535
436,中国软件 600536
437,海通集团 600537
438,*ST国发 600538
439,狮头股份 600539
440,新赛股份 600540
441,莫高股份 600543
442,新疆城建 600545
443,山煤国际 600546
444,山东黄金 600547
445,深高速 600548
446,厦门钨业 600549
447,天威保变 600550
448,时代出版 600551
449,方兴科技 600552
450,九龙山 600555
451,康缘药业 600557
452,大西洋 600558
453,老白干酒 600559
454,金自天正 600560
455,江西长运 600561
456,*ST高陶 600562
457,法拉电子 600563
458,迪马股份 600565
459,洪城股份 600566
460,山鹰纸业 600567
461,中珠控股 600568
462,安阳钢铁 600569
463,恒生电子 600570
464,信雅达 600571
465,康恩贝 600572
466,惠泉啤酒 600573
467,芜湖港 600575
468,万好万家 600576
469,精达股份 600577
470,京能热电 600578
471,ST黄海 600579
472,卧龙电气 600580
473,八一钢铁 600581
474,天地科技 600582
475,海油工程 600583
476,长电科技 600584
477,海螺水泥 600585
478,金晶科技 600586
479,新华医疗 600587
480,用友软件 600588
481,广东榕泰 600589
482,泰豪科技 600590
483,龙溪股份 600592
484,大连圣亚 600593
485,益佰制药 600594
486,中孚实业 600595
487,新安股份 600596
488,光明乳业 600597
489,北大荒 600598
490,熊猫烟花 600599
491,青岛啤酒 600600
492,方正科技 600601
493,广电电子 600602
494,ST兴  业 600603
495,ST二纺 600604
496,汇通能源 600605
497,金丰投资 600606
498,*ST沪科 600608
499,*ST金杯 600609
500,SST中纺 600610
501,大众交通 600611
502,老凤祥 600612
503,永生投资 600613
504,鼎立股份 600614
505,丰华股份 600615
506,金枫酒业 600616
507,*ST联华 600617
508,氯碱化工 600618
509,海立股份 600619
510,天宸股份 600620
511,上海金陵 600621
512,嘉宝集团 600622
513,双钱股份 600623
514,复旦复华 600624
515,申达股份 600626
516,新世界 600628
517,棱光实业 600629
518,龙头股份 600630
519,百联股份 600631
520,*ST海鸟 600634
521,大众公用 600635
522,三爱富 600636
523,广电信息 600637
524,新黄浦 600638
525,浦东金桥 600639
526,中卫国脉 600640
527,万业企业 600641
528,申能股份 600642
529,爱建股份 600643
530,乐山电力 600644
531,ST中源 600645
532,同达创业 600647
533,外高桥 600648
534,城投控股 600649
535,锦江投资 600650
536,飞乐音响 600651
537,爱使股份 600652
538,申华控股 600653
539,飞乐股份 600654
540,豫园商城 600655
541,ST方源 600656
542,信达地产 600657
543,电子城 600658
544,福耀玻璃 600660
545,新南洋 600661
546,强生控股 600662
547,陆家嘴 600663
548,哈药股份 600664
549,天地源 600665
550,西南药业 600666
551,太极实业 600667
552,尖峰集团 600668
553,天目药业 600671
554,东阳光铝 600673
555,川投能源 600674
556,中华企业 600675
557,交运股份 600676
558,航天通信 600677
559,*ST金顶 600678
560,金山开发 600679
561,上海普天 600680
562,南京新百 600682
563,京投银泰 600683
564,珠江实业 600684
565,广船国际 600685
566,金龙汽车 600686
567,刚泰控股 600687
568,S上石化 600688
569,上海三毛 600689
570,青岛海尔 600690
571,*ST东碳 600691
572,亚通股份 600692
573,东百集团 600693
574,大商股份 600694
575,大江股份 600695
576,多伦股份 600696
577,欧亚集团 600697
578,ST轻骑 600698
579,*ST得亨 600699
580,工大高新 600701
581,沱牌曲酒 600702
582,三安光电 600703
583,中大股份 600704
584,ST长信 600706
585,彩虹股份 600707
586,海博股份 600708
587,常林股份 600710
588,雄震矿业 600711
589,南宁百货 600712
590,南京医药 600713
591,ST金瑞 600714
592,ST松辽 600715
593,凤凰股份 600716
594,天津港 600717
595,东软集团 600718
596,大连热电 600719
597,祁连山 600720
598,ST百花 600721
599,*ST金化 600722
600,西单商场 600723
601,宁波富达 600724
602,云维股份 600725
603,华电能源 600726
604,ST新太 600728
605,重庆百货 600729
606,中国高科 600730
607,湖南海利 600731
608,上海新梅 600732
609,S前锋 600733
610,实达集团 600734
611,新华锦 600735
612,苏州高新 600736
613,中粮屯河 600737
614,兰州民百 600738
615,辽宁成大 600739
616,*ST山焦 600740
617,华域汽车 600741
618,一汽富维 600742
619,华远地产 600743
620,华银电力 600744
621,中茵股份 600745
622,江苏索普 600746
623,大连控股 600747
624,上实发展 600748
625,西藏旅游 600749
626,江中药业 600750
627,SST天海 600751
628,东方银星 600753
629,锦江股份 600754
630,厦门国贸 600755
631,浪潮软件 600756
632,*ST源发 600757
633,红阳能源 600758
634,正和股份 600759
635,中航黑豹 600760
636,安徽合力 600761
637,通策医疗 600763
638,中电广通 600764
639,中航重机 600765
640,园城股份 600766
641,运盛实业 600767
642,宁波富邦 600768
643,*ST祥龙 600769
644,综艺股份 600770
645,ST东盛 600771
646,西藏城投 600773
647,汉商集团 600774
648,南京熊猫 600775
649,东方通信 600776
650,新潮实业 600777
651,友好集团 600778
652,水井坊 600779
653,通宝能源 600780
654,上海辅仁 600781
655,新钢股份 600782
656,鲁信高新 600783
657,鲁银投资 600784
658,新华百货 600785
659,中储股份 600787
660,鲁抗医药 600789
